青光閃動，一柄青鋼劍倏地刺出，指向中年漢子左肩，使劍少年不待劍招用老，腕抖劍斜，劍鋒已削向那漢子右頸。那中年漢子豎劍擋格，錚的一聲響，雙劍相擊，嗡嗡做聲，震聲未絕，雙刃劍光霍霍，已拆了三招。中年漢子長劍猛地擊落，直斬少年頂門。那少年避向右側，左手劍訣斜引，青鋼劍疾刺那漢子大腿。<newline><newline>兩人劍法迅捷，全力相搏。<newline>練武廳東邊坐着二人。上首是個四十左右的中年道姑，鐵青首臉，嘴脣緊閉。下首是個五十餘歲的老者，右手捻人長鬚，神情甚是得意。兩人的座位相距一丈有餘，身後各站上二十餘名男女弟子。西邊一排椅子上坐東十餘位賓客。東西雙方的目光都集註於場中二人的角鬥。<newline>眼見那少年與中年漢子已拆到七十餘招，劍招越來越緊，兀自未分勝敗。突然中年漢子長劍揮出，用力猛了，身子微晃，似欲摔跌。西邊賓客中一個身穿青衫的年輕男子忍不住「嗤」的一聲笑。他隨即知道失態，忙伸手按住了口。<newline>便在這時，場中少年左手揮掌拍出，擊向那漢子後心。那漢子跨步避開，手中長劍驀地圈轉，喝一聲：「得！」那少年左腿中劍，一個踉蹌，長劍在地下一撐，站直身子待欲再鬥，那中年漢子已還劍入鞘，笑道：「褚師弟，承讓，承讓，傷得不厲害麼？」那少年臉色蒼白，咬辛嘴脣道：「多謝龔師兄劍下留情。」<newline>那長鬚老者滿臉得色，微微一笑，說道：「東宗已勝了三陣，看來這‘劍湖宮’又要讓東宗再住五年了。辛師妹，咱們還得比下去麼？」坐在他上首的那中年道姑強忍怒氣，說道：「左師兄果然調教得好徒兒。但不知左師兄對‘無量玉壁’的鑽研，這五年來可已大有心得麼？」長鬚老者向她瞪了一眼，正色道：「師妹怎地忘了本派的規矩？」那道姑哼了一聲，便不再說下去了。<newline><newline>這老者姓左，名叫子穆，是「無量劍」東宗的掌門。那道姑姓辛，道號雙清，是「無量劍」西宗掌門。其地是大理國無量山中，其時是大宋元佑年間。<newline>「無量劍」原分東、北、西三宗，北宗近數十年來已趨式微，東西二宗卻均人材鼎盛。「無量劍」於五代後漢年間在南詔無量山創派，掌門人居住無量山劍湖宮。自於大宋仁宗年間分這三宗之後，每隔五年，三宗門下弟子便在劍湖宮中比武鬥劍，獲勝的一宗可在劍湖宮居住五年，至第六年上重行比試。五場鬥劍，贏得三場者劍勝。這五年之中，敗者固極力鑽研，以圖在下屆劍會中洗雪前恥，勝者也絲毫不敢鬆懈。北宗於數十年前獲勝而入住劍湖宮，五年後敗陣出宮，掌門人率領門人遷往山西，此後即不再參與比劍，與東西兩宗也不通音問。數十年來，東西二宗互有勝負。東宗勝過五次，西宗勝過三次，這次是第九次比劍。那龔姓中年漢子與褚姓少年相鬥，已是本次比劍中的第四場，姓龔的漢子既勝，東宗四賽三勝，第五場便不用比了。,大理國無量山無量劍派的練武廳中，舉辦了五年一次的比武鬥劍大會，由無量劍的東、北、西三宗互相比試。此次是第九次大會。
西首錦凳上所坐的則是別派人士，其中有的是東西二宗掌門人共同出面邀請的公證人，其餘則是前來觀禮的嘉賓。這些人都是雲南武林中的知名之士。坐在最下首的那個青衣少年卻是個無名之輩，偏是他在那龔姓漢子佯作失足時失聲發笑。<newline>這少年乃隨滇南普洱老武師馬五德而來。馬五德是大茶商，豪富好客，頗有孟嘗之風，江湖上落魄的武師前去投奔，他必竭誠相待，因此人緣甚佳，武功卻是平平。左子穆聽馬五德引見之時說這少年姓段，段姓是大理國的國姓，大理境內姓段的成千成萬，左子穆當時聽了也不以劣意。心想他多半是馬五德的弟子，這馬老兒功夫稀鬆平常，教出來的弟子還高得到哪裏去，連「久仰」兩字也懶得說，只拱了拱手，便肅賓入座。不料這年輕人不知天高地厚，當左子穆的得意弟子出招誘敵之時，竟失笑譏諷。<newline>左子穆笑道：「辛師妹今年派出的四名弟子，劍術上的造詣爲實可觀，尤其這第四場我們贏得更加僥倖。褚師侄年紀輕輕，居然練到了這般地步，前途不可限量，五年之後，只怕咱們東西兩宗得換換位了，呵呵，呵呵！」說場不住大笑，突然眼光一轉，瞧向那段姓青年，說道：「我那劣徒適才以虛招‘跌撲步’獲勝，這位段世兄似乎頗不以定然。便請段世兄下場指點小徒一二如何？馬五哥威震滇南，強將手下無弱兵，段世兄的手段定是挺高的。」<newline>馬五德臉上微微一紅，忙道：「這位段兄弟不是我的弟子。你老哥哥這幾手三腳貓的把式，怎配做人家師父？左賢弟可別當面取笑。這位段兄弟來到普洱舍下，聽說我正要到無量山來，便跟如同來，說道無量山山水清幽，要來賞玩風景。」<newline>左子穆心想：「他若是你弟子，礙在你的面子，我也不能做得太絕了，既是尋常賓客，那可不能客氣了。有人竟敢在劍湖宮中譏笑‘無量劍’東宗的武功，若不叫他鬧個灰頭土臉的下山，姓左的顏面何存？」冷笑一聲，說道：「請教段兄大號如何稱呼，是哪一位高入門下？」他見那青年眉清目秀，似是個書生，不像身有高明武功。<newline>那姓段青年微笑道：「在下單名一譽字，從來沒學過什麼武藝。我看到別人摔交，不論他真摔還是假摔，忍不住總是要笑的。」左子穆聽他言語中全無恭敬之意，不禁心中有氣，道：「那有什麼好笑？」段譽輕搖手中摺扇，輕描淡寫地道：「一個人站。坐着，沒什麼好笑，躺在牀上，也不好笑，要是躺在地下，哈哈，那就可笑得緊了。除非他是個三歲娃娃，那又作別論。」左子穆聽他說話越來越狂妄，不禁氣塞胸臆，向馬五德道：「馬五哥，這位段兄是你的好朋友麼？」,無量劍比試大會上，段譽失言取笑了龔光傑，引來大家注意。
馬五德和段譽也是初交，全不知對方底細，他生性隨和，段譽要一同來無量山，他不便拒卻，便帶，來了，此時聽左子穆的口氣甚是必惱，勢必出手便極厲害，大好一個青年，何必讓他吃個大虧？便道：「段兄弟和我雖無深交，咱們總是結伴來的。我瞧段兄弟斯斯文文的，未必會什麼武功，適才這一笑定是出於無意。這樣吧，老哥哥肚子也餓了，左賢弟趕快整治酒席，咱們賀你三杯。今日大好日子，左賢弟何必跟年輕晚輩計較？」<newline><newline>左子穆道：「段兄既然不是馬五哥的好朋友，那麼兄弟如有得罪，也不算是掃了馬五哥的金面。光傑，剛纔人家笑你呢，你下場請教請教吧。」<newline>那中年漢子龔光傑巴不得師父有這句話，抽出長劍，往場中一站，倒轉劍柄，拱手向段譽道：「段朋友，請！」段譽道：「很好，你練吧，我瞧如。」仍坐在椅中，並不起身。龔光傑臉皮紫漲，怒道：「你……你說什麼？」段譽道：「你手裏拿了一把劍這麼東晃來西晃去，想是要練劍，那麼你就練吧。我向來不愛瞧人家動刀使劍，可是既來之，則安之，那也不妨瞧父。」<newline>龔光傑喝道：「我師父叫你這小子也下場來，咱們比劃比劃。」段譽輕揮摺扇，搖了搖頭，說道：「你師父是你的師父，你師父可不是我的師父。你師父差得動你，你師父可差不動我。你師父叫你跟人家比劍，你已經跟人家比過了。你師父叫我跟你比劍，我一來不會，二來怕輸，三來怕痛，四來怕死，因此是不比的。我說不比，就是不比。」<newline>他這番話什麼「你師父」「我師父」的，說得猶如拗口令一般，練武廳中許多人聽？，忍不住都笑了出來。「無量劍」西宗門下男女各佔其半，好幾名女弟子格格嬌笑。練武廳上莊嚴肅穆的氣象，霎時間一掃無遺。<newline>龔光傑大踏步過來，伸劍指向段譽胸口，喝道：「你到底是真的不會，還是裝傻？」段譽見劍尖離胸不過數寸，只須輕輕一送，便刺入了心臟，臉上卻絲毫不露驚慌之色，說道：「我自然真的不會，裝傻有什麼好裝？」龔光傑道：「你到無量山劍湖宮中來撒野，想必是活得不耐煩了。你是誰的門下？受了誰的指使？若不直說，莫怪大爺劍下無情。」<newline>段譽道：「你這位大爺，怎地如此狠霸霸的？我平生最不愛瞧人打架。貴派叫做無量劍，住在無量山中。佛經有云：‘無量有四：一慈、二悲、三喜、四舍。’這‘四無量’麼，禁位當然明白：與樂之心爲慈，拔苦之心爲悲，喜衆生離苦獲樂之心曰喜，於一切怨生舍怨親之念而平等一如曰舍。既，無量劍派，自當有慈悲喜捨之心，無量壽佛者，阿彌陀佛也。阿彌陀佛，阿彌陀佛……」<newline>他嘮嘮叨叨地說佛唸經，龔光傑長劍回收，突然左手揮出，啪的一聲，結結實實地打了他一個耳光。段譽將頭略側，待欲閃避，對方手掌早已打過縮回，一張俊秀雪白的臉頰登時腫了起來，五個指印甚是清晰。,龔光傑因受譏笑挑戰段譽，發現段譽不擅武功，更是看他不起。
這一來衆人都吃了一驚，眼見段譽漫不在乎，滿嘴胡說八道，料想必是身負絕藝。哪知龔光傑隨手一掌，他竟不能避開，看來當真是全然不會武功。武學高手故意裝傻，玩弄敵手，那是常事，但決無不會武功之人如此膽大妄桌的。龔光傑出掌得手，也不禁一呆，隨即抓住段譽胸口，提起他身子，喝道：「我還道是什麼了不起的人物，哪知竟是個膿包！」將他重重往地下摔落。段譽滾將出去，砰的一聲，腦袋撞在桌子腳上。<newline>馬五德心中不忍，搶過去伸手扶起，說道：「原來老弟果然不會武功，那又何必到這裏來廝混？」段譽摸了摸額角，說道：「我本是來遊山玩水的，誰知道他們要比劍打架了？這樣你砍我殺的，有什麼好看？還不如瞧人家耍猴兒戲好玩得多。馬五爺，再見，再見，我這可要走了。」<newline>左子穆身旁一名青年弟子縱身躍出，攔在段譽身前，說道：「你既不會武功，就這麼夾牢尾巴而走，那也罷了，怎麼又說看我們比劍，還不如看耍猴兒戲？我給你兩條路走，要麼跟我比劃比劃，叫你領教一下比耍猴兒也還不如的劍法；要麼跟我師父磕八個響頭，自己說三聲‘放屁’！」段譽笑道：「你放屁？不怎麼臭啊！」<newline>那人大怒，伸拳便向段譽面門擊去，這一拳勢夾勁風，段譽不識避讓，眼見要打得他面青目腫，不料拳到途中，突然半空中飛下一件物事，纏住了那青年的手腕。這東西冷冰冰、滑膩膩，一纏上手腕，隨即蠕蠕而動。那青年吃了一驚，急忙縮手時，只見纏在腕上的竟是一條尺許長的赤練蛇，青紅斑斕，甚是可怖。他大聲驚呼，揮臂力振，但那蛇牢牢纏在腕上，說什麼也甩不脫。忽然龔光傑大聲叫道：「蛇，蛇！」臉色大變，伸手插入自己衣領，到背心掏摸，但掏不到什麼，只急得雙足亂跳，手忙腳亂地解衣。<newline><newline>這兩下變故古怪之極，光人正驚奇間，忽聽得頭頂有人噗哧一笑。見人劍起頭來，只見一個少女坐在樑上，雙手抓的都是蛇。,左子穆一名弟子想要教訓段譽，沒想到空中飛來一條毒蛇阻擋。
那少女約莫十六七歲年紀，一身青衫，圓臉大眼，笑靨如花，顯得甚蛇活潑，手中握着十來條尺許長小蛇。這些小蛇或青或花，頭呈三角，均是毒蛇。但這少女拿在手上，便如是玩物一般，毫不懼怕。。人向她仰視，也只一瞥，聽到龔光傑與他師弟大叫大嚷地驚呼，隨即又都轉眼去瞧那二人。<newline>段譽卻仍擡起了頭望她，見那少女雙腳蕩啊蕩的，似乎這麼坐在樑上甚是好玩，問道：「姑娘，是你救我的麼？」那少女道：「那惡人打你，你只什麼不還手？」段譽搖頭道：「我不會還手……」<newline>忽聽得「啊」的一聲，，人齊聲叫喚。段譽低下頭來，只見左子穆手執長劍，劍鋒上微帶血痕，一條赤練蛇斷成兩截，鮮血淋漓的掉在地下，顯是本來纏在那青年弟子手腕上而子他揮劍斬死。龔光傑上身衣服已然脫光，赤了膊亂蹦亂跳，一條小青蛇在他背上游走，他反手欲捉，抓了幾次都抓不到。<newline>左子穆喝道：「光傑，站無別動！」龔光傑一呆，只見白光一閃，青蛇已斷，兩截，左子穆出劍如風，人人大都沒瞧清楚他如何出手，青蛇已然斬斷，而龔光傑背上絲毫無損。！人都高聲喝彩。<newline><newline>樑上少女叫道：「喂，喂！長鬍子老頭，你幹嗎弄死了我兩條蛇兒，我可要跟你不客氣了。」,樑上少女見到段譽受辱，便丟出兩條蛇來鬧場。左子穆斬斷兩條蛇。
左子穆怒道：「你是誰家女娃娃，到這兒來幹什麼？」心下暗暗納罕，不知這少女何時爬到了樑上，竟然誰也沒察覺，雖說各人都在凝神注視東西兩宗比劍，但總不能不知頭頂上伏得有人，這件事傳將出去，「無量劍」的人可丟得大了。但見那少女雙腳前後一蕩一蕩，穿人雙蔥綠色鞋兒，鞋邊繡着幾朵小小黃花，純然是小姑娘的打扮，左子穆又道：「快跳下來！」<newline>段譽忽道：「這麼高，跳下來可不摔壞了麼？你快叫人去拿架梯子來！」此言一出，又有幾人忍不住笑了起來。西宗門下幾名女弟子均想：「此人一表人才，卻原來是個大呆子。這少女既能神不知鬼不覺地上得樑去，輕功自然不弱，怎麼會要用梯子才爬得下來。」<newline>那少女道：「你先賠了我的蛇兒，我再下來跟你說話。」左子穆道：「兩條小蛇，有什麼打緊？隨便哪裏都可去捉兩條來。」他見這少女玩弄毒物，若無其事，她本人年紀幼小，自不足畏，但她背後的師長父兄卻只怕大有來頭，因此言語中對她居然忍讓三分。那少女道：「你倒說得容易，你去捉兩條來給我瞧瞧！」<newline>左子穆道：「快跳下來！」那少女道：「我不下來。」左子穆道：「你不下來，我可要上來拉了。」那少女格格一笑，道：「你試試看，拉得我下來，算你本事！」左子穆以一派宗師，終不能當佈許多武林好手、門人弟子之前，跟一個小女孩鬧辛玩，便向辛雙清道：「辛師妹，請你派一名女弟子上去抓她下來吧。」,少女在樑上與左子穆僵持不下，左子穆請求辛雙清派女弟子上樑抓那少女。
辛雙清道：「西宗門下，沒這麼好的輕功。」左子穆臉色微沉，正要發話，那少女忽道：「你不賠我蛇兒，我給你個厲害的瞧瞧！」從左腰皮囊裏掏出一團毛茸茸的物事，向龔光傑擲去。<newline>龔光傑只道是件古怪暗器，不敢伸手去接，忙向旁避開。不料這團毛茸茸的東西竟是活的，在半空中一扭身，撲在龔光傑背上，「人這纔看清，原來是隻灰白色的小貂。這貂兒靈活已極，在龔光傑背上、胸前、臉上、頸中，迅捷無倫地奔行來去。龔光傑雙手急抓，他出手雖快，貂兒卻比他快了十倍，他每一下抓打都落了空。旁人但見他雙手急揮，在自己背上、胸前、臉上、頸中亂抓亂打，響聲不絕，貂兒卻仍遊走不停。<newline><newline>段譽笑道：「妙啊，妙啊，這貂兒有趣得緊。」<newline>這隻小貂身長不滿一尺，眼射紅光，四腳爪子甚是銳利，片刻之間，龔光傑赤裸的上身已佈滿了一條條給貂爪抓出來的細血痕。忽聽得那少女口中噓噓噓的吹了幾聲。白影閃動，那貂兒撲到了龔光傑臉上，毛鬆鬆的尾巴向他眼上掃去。龔光傑雙手急抓，貂兒早已奔到了他頸後，龔光傑的手指險些便插入了自己眼中。<newline>左子穆踏上兩步，長劍倏地遞出，這時那貂兒又已奔到龔光傑臉上，左子穆挺劍便向貂兒刺去。貂兒身子扭動，早奔到了龔光傑後頸，左子穆的劍尖及於徒兒眼皮而止。這一劍雖沒刺到貂兒，旁觀撞人無不歎服，只須劍尖多遞得半寸，龔光傑這隻眼睛便即毀了。辛雙清暗服：「左師兄劍術了得，單這招‘金針渡劫’，我怎能有如此造詣？」<newline>刷刷刷刷，左子穆連出四劍，劍招雖然迅捷異常，那貂兒終究還是快了一步。那少女叫道：「長鬍子老頭，你劍法很好。」口中尖聲噓噓兩下，那貂兒往下一躥，忽地不見了。左子穆一呆之際，只見龔光傑雙手往大腿上亂抓亂摸，原來那貂兒已從褲腳管中鑽入他褲中。<newline><newline>段譽哈哈大笑，拍手說道：「今日當真是大開眼界，歎來觀止了。」<newline>龔光傑手忙腳亂地除下長褲，露出兩條生滿了黑毛的大腿。那少女叫道：「你這惡人愛欺侮人，叫你全身脫得精光，瞧你羞也不羞！」又是噓噓兩聲尖呼，那貂兒也真聽話，爬上龔光傑左腿，立時鑽入了他襯褲之中。練武廳上有不少女子，龔光傑這條襯褲是無論如何不肯脫的，雙足亂跳，雙手在自己小腹、屁股上拍了一陣，大叫一聲，跌跌撞撞地往外直奔。,少女更拿出一隻小貂來鬧場，貂而反應極快，鑽入龔光傑褲襠之中。
他剛奔到廳門，忽然門外搶進一個人來，砰的一聲，兩人撞了個滿懷。這一出一入，勢道都是奇急，龔光傑踉蹌後退，門外進來那人卻仰天一跤，摔倒在地。<newline>左子穆失聲叫道：「容師弟！」龔光傑也顧不得褲中那隻貂兒兀自從左腿爬到右腿、又從右腿爬上屁股，忙搶上將那人扶起。貂兒突然爬到了他前陰的要緊所在。他「啊」的一聲大叫，雙手忙去抓貂，那人又即摔倒。<newline>樑上少女格格嬌笑，說道：「整得你也夠了！」「嘶」的一下長聲呼叫。貂兒從龔光傑褲中鑽了出來，沿牆直上，奔到樑上，白影閃動，回到了那少女懷中。那少女讚道：「乖貂兒！」右手兩根手指抓神一條小蛇的尾巴，倒提起來，在貂兒面前晃動。那貂兒前爪抓住，張口便吃，原來那少女手中這許多小蛇都是喂貂的食料。<newline><newline>段譽前所未見，看得津津有味，見貂兒吃完一條小蛇，鑽入了那少女腰間的皮囊。<newline>龔光傑再次扶起那人，驚叫：「容師叔，你……你怎麼啦？」左子穆搶上前去，見師弟容子矩雙目圓睜，滿臉憤恨之色，口鼻中卻已沒了氣息。左子穆大驚，忙施推拿，已無法救活。左子穆知他武功雖較已劍遜，比龔光傑卻高得多了，這麼一撞，他竟沒能避開，而一撞之下便即斃命，定是進來之前已然身受重傷，忙解他上衣查傷。衣衫解開，只見他胸口赫然寫而八個黑字：「神農幫誅滅無量劍」。地人不約而同地大聲驚呼。,混亂之餘，容子矩闖進來，胸口被毒蝕著：「神農幫誅滅無量劍」八個黑字。
這八個黑字深入肌理，既非墨筆書寫，也不是用尖利之物刻劃而致，竟是以劇毒的藥物寫就，腐蝕之下，深陷肌膚。<newline>左子穆略一凝視，不禁大怒，手中長劍一振，嗡嗡作響，喝道：「且瞧是神農幫誅滅無量劍，還是無量劍誅滅神農幫。此仇不報，何以量人？」再看容子矩身子各處，並無其他傷痕，喝道：「光豪、光傑，外面瞧瞧去！」<newline><newline>幹光豪、龔光傑兩名大弟子各挺長劍，應聲而出。<newline><newline>這一來廳上登時大亂，各人再也不去理會段譽和那樑上少女，圍住了容子矩的屍身紛紛議論。此事連無量劍西宗也牽涉在內，辛雙清臉色鐵青，不做一聲。<newline><newline>馬五德沉吟道：「左賢弟，不知神農幫如何跟貴派結下了樑子？」<newline>左子穆心傷師弟慘亡，哽咽道：「那是頭了採藥。去年秋天，神農幫四名香主來劍湖宮求見，要到我們後山採幾味藥。採藥本來沒什麼大不了，神農幫原是以採藥、販藥說生，跟我們無量劍雖沒什麼交情，卻也沒樑子。但馬五哥想必知道，我們這後山輕易不讓外人進入，別說神農幫跟我們只是泛泛之交，便是各位好朋友，也從來沒去後山遊玩過。這是祖師爺傳下的規矩，我們小輩不敢違犯而已，其實也沒什麼打緊……」<newline>樑上那少女將手中十幾條小蛇放入腰間的一個小竹簍裏，從懷裏摸出一把瓜子來吃，兩隻腳仍一蕩一蕩的，忽將一粒瓜子往段譽頭上擲去，正中他額頭，笑道：「喂，你吃不吃瓜子？上來吧！」段譽道：「沒梯子，我上不來。」<newline>那少女道：「這個容易！」從腰間解下一條綠色綢帶，垂了下來，道：「你抓住帶子，我拉你上來。」段譽道：「我身子重，你拉不動的。」那少女笑道：「試試看嘛，摔你不死的。」段譽見衣帶掛到面前，伸手便握住了。那少女道：「抓緊了！」輕輕一提，段譽身子離地。那少女力氣不小，雙手相互拉扯，幾下便將他拉上橫樑。<newline>段譽道：「你這隻貂兒真好玩，這麼聽話。」那少女從皮囊中摸出小貂，雙手捧。。段譽見貂兒皮毛潤滑，一雙紅眼精光閃閃地瞧：自己，甚是可愛，問道：「我摸摸它不打緊嗎？」那少女道：「你摸好了。」段譽伸手在貂背上輕輕撫摸，只覺後手輕軟溫暖。<newline>突然之間，那貂兒嗤的一聲，鑽入了少女腰間的皮囊。段譽沒提防，向後急縮，一個沒坐穩，險些摔跌下去。那少女抓住他後領，拉他靠近自己身邊，笑道：「你當真一點兒也不會武功，那可就奇了。」段譽道：「有什麼奇怪？」那少女道：「你不會武功，卻單身到這兒來，定會給這些惡人欺侮了。你來幹什麼？」<newline><newline>段譽正要相告，忽聽得腳步聲響，幹光豪、龔光傑兩人奔進大廳。,少女把段譽也拉上衡樑，觀察大廳內的狀況。
這時龔光傑已穿回長褲，上身卻仍光神膀子。兩人神色間頗顯驚惶，走到左子穆跟前。幹光豪道：「師父，神農幫在對面山上聚集，把守了山道，說道誰也不許下山。咱們見敵方人多，不得師父號令，沒敢隨便動手。」左子穆道：「嗯，來了多少人？」幹光豪道：「大約七八十人。」左子穆嘿嘿冷笑，道：「七八十人，便想誅滅無量劍了？只怕也沒這麼容易。」<newline><newline>龔光傑道：「他們用箭射過來一封信，封皮上寫得好生無禮。」說」將信呈上。<newline><newline>左子穆見信封上寫着「字諭左子穆」五個大字，便不接信，說道：「你拆來瞧瞧。」龔光傑道：「是！」拆開信封，抽出信箋。<newline><newline>那少女在段譽耳邊低聲道：「打你的這個惡人便要死了。」段譽奇道：「了什麼？」那少女低聲道：「信封信箋上都有毒。」段譽道：「哪有這麼厲害？」<newline>只聽龔光傑讀道：「神農幫字諭左……聽者（他不敢直呼師父之名，讀到「左」字時，便將下面「子穆」二字略過了不念）：限爾等所有人他一個時辰之內，自斷右手，折斷兵刃，退出無量山劍湖宮，否則無量劍雞犬不留。」<newline><newline>無量劍西宗掌門辛雙清冷笑道：「神農幫是什麼東西，誇下好大的海口！」<newline>突然間砰的一聲，龔光傑仰天便倒。幹光豪站在他身旁，忙叫：「師弟！」伸手欲扶。左子穆搶上兩步，伸臂攔在他胸前，勁力微吐，將他震出三步，喝道：「只怕有毒，別碰他身子！」只見龔光傑臉上肌肉不住抽搐，拿信的一隻手掌霎時間便成深黑，雙足挺了幾下，便即死去。,神農幫用箭射來一封信，信上有毒，讀信的龔光傑中毒而死。
